first_name,last_name,full_name,number
Ornella,Bova,Ornella Bova,3281923852
Valerio,Pavanello,Valerio Pavanello,3566874478
Dott.,Damiano,Dott. Damiano Spanevello,3359600983
Pompeo,Filippini,Pompeo Filippini,3758115218
Sig.ra,Fabia,Sig.ra Fabia Carfagna,3215257603
Tiziana,Agazzi,Tiziana Agazzi,3950666008
Fiamma,Collodi,Fiamma Collodi,3376287193
Angelo,Onisto,Angelo Onisto,3825971737
Alessia,Fattori,Alessia Fattori,3661037098
Benvenuto,Meucci,Benvenuto Meucci,3457361080
Sig.ra,Priscilla,Sig.ra Priscilla Priuli,3097917804
Antonietta,Vendetti-Lombardi,Antonietta Vendetti-Lombardi,3922066704
Maria,Foa-Salgari,Maria Foa-Salgari,3413984037
Melissa,Zeffirelli,Melissa Zeffirelli,3054927562
Emilio,Notarbartolo,Emilio Notarbartolo,3192375486
Veronica,Medici,Veronica Medici,3090588645
Amalia,Bertoli,Amalia Bertoli,3300994471
Sig.,Elmo,Sig. Elmo Peano,3068982966
Fiorino,Gori,Fiorino Gori,3472855930
Sabatino,Querini,Sabatino Querini,3656000543
Dott.,Griselda,Dott. Griselda Bonaventura,3509568211
Fabia,Mazzanti,Fabia Mazzanti,3346012606
Silvia,Bossi,Silvia Bossi,3741344192
Dott.,Martina,Dott. Martina Lancisi,3185977048
Dina,Murri,Dina Murri,3784698616
Gianluigi,Dallara,Gianluigi Dallara,3869505474
Durante,Puccini,Durante Puccini,3897659334
Luisa,Rizzo,Luisa Rizzo,3202187490
Martina,Granatelli,Martina Granatelli,3018149057
Fiamma,Viola-Scarfoglio,Fiamma Viola-Scarfoglio,3055390520
Giorgio,Iadanza,Giorgio Iadanza,3620639101
Fernanda,Luxardo,Fernanda Luxardo,3228319450
Pier,Asprucci,Pier Asprucci,3621938271
Isabella,Zola,Isabella Zola,3959795133
Sig.,Amico,Sig. Amico Gaggini,3747630644
Lidia,Scotto,Lidia Scotto,3241007838
Lolita,Parri,Lolita Parri,3331335383
Beatrice,Bragadin,Beatrice Bragadin,3934386586
Dott.,Roman,Dott. Roman Cipolla,3091709202
Berenice,Gatto,Berenice Gatto,3216667034
Vittoria,Micca,Vittoria Micca,3760972512
Danilo,Pertini-Maspero,Danilo Pertini-Maspero,3817667121
Daniele,Bossi,Daniele Bossi,3096854657
Enrico,Napolitano,Enrico Napolitano,3090057747
Sig.,Pellegrino,Sig. Pellegrino Monte,3587568478
Dott.,Gloria,Dott. Gloria Trotta,3188162412
Dott.,Azeglio,Dott. Azeglio Santoro,3620303845
Stefania,Barozzi,Stefania Barozzi,3368423726
Tatiana,Treccani,Tatiana Treccani,3426022733
Maria,Donini,Maria Donini,3298748343
Paoletta,Argurio,Paoletta Argurio,3159240548
Eleanora,Moretti,Eleanora Moretti,3399503261
Beatrice,Paolini,Beatrice Paolini,3301994647
Sig.ra,Nina,Sig.ra Nina Guarneri,3125813072
Romana,Proietti,Romana Proietti,3038211411
Mirko,Padovano,Mirko Padovano,3769391036
Sig.,Dario,Sig. Dario Campanella,3196616254
Loredana,Moretti,Loredana Moretti,3454448670
Stefania,Collina,Stefania Collina,3836181157
Emilio,Antonetti,Emilio Antonetti,3693475435
Amedeo,Bembo-Casellati,Amedeo Bembo-Casellati,3049592624
Elmo,Cendron-Andreotti,Elmo Cendron-Andreotti,3992571464
Emilio,Vecellio-Foa,Emilio Vecellio-Foa,3536954029
Arnulfo,Pepe,Arnulfo Pepe,3999228111
Dott.,Romolo,Dott. Romolo Cortese,3096710771
Lorenzo,Dibiasi,Lorenzo Dibiasi,3683038464
Nino,Guidone-Maderno,Nino Guidone-Maderno,3342708435
Ernesto,Galiazzo,Ernesto Galiazzo,3067179904
Ciro,Gianetti-Andreotti,Ciro Gianetti-Andreotti,3419422052
Sig.,Alberto,Sig. Alberto Valmarana,3532675680
Stella,Saracino-Mercadante,Stella Saracino-Mercadante,3545652885
Giuliano,Barbarigo-Borrani,Giuliano Barbarigo-Borrani,3337305693
Dionigi,Pavarotti,Dionigi Pavarotti,3055145919
Victoria,Bruno,Victoria Bruno,3361422449
Ruggiero,Smirnoff-Manacorda,Ruggiero Smirnoff-Manacorda,3071971535
Viridiana,Gonzaga,Viridiana Gonzaga,3437109709
Liliana,Gentileschi,Liliana Gentileschi,3227462918
Bernardo,Fuseli-Innocenti,Bernardo Fuseli-Innocenti,3211956216
Tina,Cainero,Tina Cainero,3879322451
Ilaria,Zanazzo,Ilaria Zanazzo,3061462743
Renata,Gilardoni,Renata Gilardoni,3637292465
Antonina,Petruzzi,Antonina Petruzzi,3981065835
Nicolò,Cannizzaro,Nicolò Cannizzaro,3772034355
Vincentio,Maderna-Toscani,Vincentio Maderna-Toscani,3622259711
Lisa,Verdone,Lisa Verdone,3034142016
Leopoldo,Draghi,Leopoldo Draghi,3537151295
Rosa,Brambilla,Rosa Brambilla,3978330638
Stefania,Anichini,Stefania Anichini,3857931113
Marta,Aldobrandi,Marta Aldobrandi,3929794333
Greco,Nicolucci,Greco Nicolucci,3307251676
Monica,Napolitano,Monica Napolitano,3807576323
Ippazio,Liverotti,Ippazio Liverotti,3263033338
Pietro,Palumbo,Pietro Palumbo,3108818977
Susanna,Antelami-Bulzoni,Susanna Antelami-Bulzoni,3871971681
Isabella,Sauli,Isabella Sauli,3208346862
Dott.,Ernesto,Dott. Ernesto Panatta,3266681677
Guido,Villarosa,Guido Villarosa,3319037937
Adelmo,Mazzacurati-Brunelleschi,Adelmo Mazzacurati-Brunelleschi,3412109130
Rosa,Garobbio,Rosa Garobbio,3563738755
Sig.,Dionigi,Sig. Dionigi Pastine,3297123407
Dott.,Stella,Dott. Stella Stein,3505417530
Fabio,Anastasi,Fabio Anastasi,3337624186
Fabrizio,Bandello,Fabrizio Bandello,3150067482
Lucrezia,Tirabassi,Lucrezia Tirabassi,3707604534
Atenulf,Desio-Ramazzotti,Atenulf Desio-Ramazzotti,3310294122
Sonia,Vecellio,Sonia Vecellio,3847957207
Sig.ra,Melina,Sig.ra Melina Panatta,3030074344
Bettina,Curci-Fagiani,Bettina Curci-Fagiani,3078628091
Pasquale,Borsiere-Ariasso,Pasquale Borsiere-Ariasso,3942273552
Claudio,Pozzecco,Claudio Pozzecco,3074886612
Niccolò,Lucchesi,Niccolò Lucchesi,3963787394
Dott.,Amedeo,Dott. Amedeo Pagliaro,3119869652
Dott.,Ninetta,Dott. Ninetta Pacetti,3854390772
Sig.ra,Stefania,Sig.ra Stefania Cammarata,3812481438
Adelmo,Eco,Adelmo Eco,3181047536
Livio,Querini,Livio Querini,3693888320
Maria,Ariasso,Maria Ariasso,3921560605
Sig.,Puccio,Sig. Puccio Giorgetti,3474808421
Napoleone,Toldo,Napoleone Toldo,3663884600
Antonella,Barberini,Antonella Barberini,3368387959
Ida,Iannelli,Ida Iannelli,3259367927
Sig.,Durante,Sig. Durante Bresciani,3057721767
Greca,Platini,Greca Platini,3170167097
Micheletto,Agnesi,Micheletto Agnesi,3596567072
Dott.,Ronaldo,Dott. Ronaldo Chiaramonte,3316978783
Romina,Camiscione-Einaudi,Romina Camiscione-Einaudi,3946919028
Sig.ra,Monica,Sig.ra Monica Filogamo,3998316020
Emma,Baracca,Emma Baracca,3714122939
Benito,Pedrazzini-Tremonti,Benito Pedrazzini-Tremonti,3301148308
Nanni,Ciani,Nanni Ciani,3177943874
Gioacchino,Basadonna,Gioacchino Basadonna,3276482511
Vincenzo,Strangio,Vincenzo Strangio,3185558387
Jolanda,Civaschi,Jolanda Civaschi,3517631415
Giacomo,Pizzetti,Giacomo Pizzetti,3541423460
Romeo,Montessori,Romeo Montessori,3438961567
Rita,Sauro-Cremonesi,Rita Sauro-Cremonesi,3687293094
Luciana,Tommaseo,Luciana Tommaseo,3696205962
Durante,Farinelli,Durante Farinelli,3265078616
Dott.,Dina,Dott. Dina Galeati,3445743049
Sig.ra,Barbara,Sig.ra Barbara Sauro,3713116694
Priscilla,Gramsci,Priscilla Gramsci,3814572709
Dott.,Gemma,Dott. Gemma Vecoli,3574834673
Melina,Silvestri,Melina Silvestri,3261527870
Daria,Stein,Daria Stein,3741692259
Benedetto,Andreozzi,Benedetto Andreozzi,3214282155
Michele,Sorrentino,Michele Sorrentino,3707342422
Gloria,Renault,Gloria Renault,3359278409
Berenice,Carriera,Berenice Carriera,3357048496
Raffaellino,Fiorucci,Raffaellino Fiorucci,3954255558
Stefano,Marrone,Stefano Marrone,3526365568
Fabia,Pisacane,Fabia Pisacane,3795792181
Dott.,Gustavo,Dott. Gustavo Navarria,3475027844
Giuseppina,Burcardo,Giuseppina Burcardo,3490942401
Dott.,Vittoria,Dott. Vittoria Almagià,3364247623
Donatella,Bodoni,Donatella Bodoni,3347679085
Mauro,Carli-Foscari,Mauro Carli-Foscari,3852253700
Tatiana,Tanzini,Tatiana Tanzini,3559267449
Enzo,Sbarbaro,Enzo Sbarbaro,3084882941
Luciano,Morgagni,Luciano Morgagni,3465382952
Ninetta,Raimondi-Littizzetto,Ninetta Raimondi-Littizzetto,3081589831
Fortunata,Romiti,Fortunata Romiti,3072741474
Bruno,Pisacane,Bruno Pisacane,3868440818
Melania,Taccola-Catenazzi,Melania Taccola-Catenazzi,3244997486
Donato,Bellò-Salandra,Donato Bellò-Salandra,3698989053
Pasquale,Cerutti-Tutino,Pasquale Cerutti-Tutino,3967747142
Piersanti,Solari,Piersanti Solari,3736085476
Alphons,Civaschi,Alphons Civaschi,3957210150
Silvestro,Troisi,Silvestro Troisi,3828196026
Mirko,Cavanna,Mirko Cavanna,3805888209
Raimondo,Staglieno,Raimondo Staglieno,3968683220
Calcedonio,Nosiglia,Calcedonio Nosiglia,3608450611
Sig.,Rolando,Sig. Rolando Barberini,3971093415
Ida,Tron,Ida Tron,3782878084
Ivan,Troisi,Ivan Troisi,3185250646
Dott.,Giorgio,Dott. Giorgio Gabrieli,3487104766
Benvenuto,Saracino,Benvenuto Saracino,3898118371
Luciano,Panzera,Luciano Panzera,3117732598
Griselda,Sanguineti,Griselda Sanguineti,3423043196
Sig.,Claudio,Sig. Claudio Geraci,3945943527
Stefania,Caruso,Stefania Caruso,3816538905
Elvira,Mondaini,Elvira Mondaini,3466735449
Dott.,Beppe,Dott. Beppe Guariento,3556456137
Marisa,Oscuro,Marisa Oscuro,3823288349
Flavia,Schiavone-Caruso,Flavia Schiavone-Caruso,3139455252
Dott.,Goffredo,Dott. Goffredo Boiardo,3968143962
Fabio,Sforza,Fabio Sforza,3117575075
Nicola,Renault,Nicola Renault,3545394112
Sig.,Gianpaolo,Sig. Gianpaolo Mercati,3232209052
Fulvio,Galilei-Romagnoli,Fulvio Galilei-Romagnoli,3556819852
Vanessa,Marangoni,Vanessa Marangoni,3174676733
Serena,Antonini-Ostinelli,Serena Antonini-Ostinelli,3330048607
Dott.,Giancarlo,Dott. Giancarlo Mascagni,3232737784
Pina,Rossi-Saffi,Pina Rossi-Saffi,3172352127
Sig.ra,Rossana,Sig.ra Rossana Storladi,3955750752
Tonia,Salvo,Tonia Salvo,3283037458
Renata,Monicelli,Renata Monicelli,3645625556
Maura,Martucci,Maura Martucci,3334102064
Giuliana,Baresi-Scandone,Giuliana Baresi-Scandone,3813290629
Marcantonio,Garrone,Marcantonio Garrone,3392271707
Ninetta,Ricci,Ninetta Ricci,3432059238
Franco,Ubaldi,Franco Ubaldi,3776939860
Dario,Badoer,Dario Badoer,3882038749
Dott.,Tullio,Dott. Tullio Barbarigo,3706178319
Donna,Fagotto-Tanzini,Donna Fagotto-Tanzini,3971648409
Piersanti,Santoro,Piersanti Santoro,3013484024
Angelica,Dibiasi,Angelica Dibiasi,3014354609
Dott.,Rosina,Dott. Rosina Montanari,3823419231
Dott.,Diana,Dott. Diana Ginese,3856386170
Martina,Aldobrandi,Martina Aldobrandi,3729787496
Liliana,Argurio,Liliana Argurio,3048788442
Elvira,Ammaniti,Elvira Ammaniti,3967425379
Martina,Alboni-Gualandi,Martina Alboni-Gualandi,3813632607
Edoardo,Battelli,Edoardo Battelli,3296956444
Mattia,Argurio,Mattia Argurio,3957430800
Giacinto,Montecchi,Giacinto Montecchi,3872493238
Severino,Fantoni-Luria,Severino Fantoni-Luria,3574985668
Sig.,Piergiorgio,Sig. Piergiorgio Roero,3298521381
Gianfranco,Toscani,Gianfranco Toscani,3820225206
Rodolfo,Fantoni,Rodolfo Fantoni,3379105646
Dott.,Donna,Dott. Donna Mazzini,3714065380
Aurora,Abba,Aurora Abba,3967250644
Luca,Binaghi,Luca Binaghi,3326882521
Lina,Foscari-Traversa,Lina Foscari-Traversa,3680703930
Licia,Tosi,Licia Tosi,3284269721
Angelo,Berengario,Angelo Berengario,3849902434
Costanzo,Boito,Costanzo Boito,3103004217
Melissa,Giannotti,Melissa Giannotti,3673810421
Fiamma,Castiglione,Fiamma Castiglione,3258577325
Michela,Malatesta,Michela Malatesta,3274507247
Sig.ra,Maura,Sig.ra Maura Gulotta,3240588695
Antonia,Toselli,Antonia Toselli,3766914780
Lisa,Cappelli,Lisa Cappelli,3432892677
Daria,Tassoni,Daria Tassoni,3834826280
Claudio,Agnesi,Claudio Agnesi,3007702341
Gionata,Goldstein,Gionata Goldstein,3311118815
Angelica,Gemito,Angelica Gemito,3420137628
Gabriella,Gioberti,Gabriella Gioberti,3722199706
Vincentio,Orlando,Vincentio Orlando,3497990894
Baccio,Fabbri-Detti,Baccio Fabbri-Detti,3036194601
Fiorino,Beffa,Fiorino Beffa,3266042074
Virgilio,Lombroso,Virgilio Lombroso,3656829277
Graziella,Naccari,Graziella Naccari,3264018414
Francesca,Iacovelli,Francesca Iacovelli,3563972468
Antonella,Merisi,Antonella Merisi,3622997863
Germana,Fantoni,Germana Fantoni,3553721378
Luigi,Ravaglioli,Luigi Ravaglioli,3678149544
Severino,Correr,Severino Correr,3987860424
Annunziata,Torricelli-Spanevello,Annunziata Torricelli-Spanevello,3624298459
Lucia,Boccaccio-Tosto,Lucia Boccaccio-Tosto,3629090721
Dott.,Imelda,Dott. Imelda Tresoldi,3409962434
Augusto,Piccinni,Augusto Piccinni,3403024728
Chiara,Mastandrea,Chiara Mastandrea,3098264219
Romolo,Bersani,Romolo Bersani,3783622486
Fedele,Michelangeli,Fedele Michelangeli,3915637706
Sig.ra,Francesca,Sig.ra Francesca Borromeo,3027110508
Sig.,Agostino,Sig. Agostino Finzi,3352444293
Beatrice,Quasimodo,Beatrice Quasimodo,3183259139
Antonio,Chinnici,Antonio Chinnici,3385273825
Fiorino,Morlacchi,Fiorino Morlacchi,3317382420
Paoletta,Moresi,Paoletta Moresi,3043753185
Etta,Gagliardi,Etta Gagliardi,3973948700
Nadia,Saracino,Nadia Saracino,3521271030
Dott.,Nanni,Dott. Nanni Tropea,3556549065
Martina,Coppola,Martina Coppola,3416945471
Giuliano,Udinesi-Cantimori,Giuliano Udinesi-Cantimori,3145669202
Erika,Salgari,Erika Salgari,3518864357
Guglielmo,Gualandi,Guglielmo Gualandi,3611025093
Filippa,Alfonsi,Filippa Alfonsi,3955663201
Amico,Santi-Petrocelli,Amico Santi-Petrocelli,3909585382
Susanna,Solari,Susanna Solari,3925523737
Cristina,Errigo-Pavone,Cristina Errigo-Pavone,3758323845
Alessia,Manacorda,Alessia Manacorda,3896997211
Guarino,Martinelli,Guarino Martinelli,3997541339
Alfredo,Bertoli,Alfredo Bertoli,3452773006
Bartolomeo,Rastelli,Bartolomeo Rastelli,3792708367
Romolo,Donarelli-Giannelli,Romolo Donarelli-Giannelli,3419751912
Michela,Maccanelli,Michela Maccanelli,3502554871
Dott.,Camillo,Dott. Camillo Praga,3135116989
Margherita,Ponti,Margherita Ponti,3949620827
Alberico,Carfagna,Alberico Carfagna,3239575265
Micheletto,Caironi-Mercantini,Micheletto Caironi-Mercantini,3368654717
Flavio,Vercelloni-Dossetti,Flavio Vercelloni-Dossetti,3646151081
Dott.,Alfredo,Dott. Alfredo Frescobaldi,3537629569
Annamaria,Gabba,Annamaria Gabba,3353722089
Orlando,Caccianemico,Orlando Caccianemico,3839947308
Fabrizio,Juvara,Fabrizio Juvara,3616794499
Giancarlo,Zoppetto,Giancarlo Zoppetto,3982736205
Dolores,Capuana,Dolores Capuana,3214558994
Adele,Ficino-Iacovelli,Adele Ficino-Iacovelli,3818023164
Marcello,Ciani,Marcello Ciani,3259166637
Sig.,Paride,Sig. Paride Garobbio,3229448014
Ugolino,Micca,Ugolino Micca,3027570184
Ivo,Rocca-Mortati,Ivo Rocca-Mortati,3216241275
Sig.ra,Rosina,Sig.ra Rosina Grossi,3042045098
Ronaldo,Gonzaga,Ronaldo Gonzaga,3615387566
Osvaldo,Cimarosa,Osvaldo Cimarosa,3239020709
Dott.,Paola,Dott. Paola Gabba,3962062858
Gianpaolo,Morabito,Gianpaolo Morabito,3141635102
Olga,Bixio,Olga Bixio,3480314503
Gaetano,Tasso,Gaetano Tasso,3519003851
Sig.,Carmelo,Sig. Carmelo Zarlino,3597904540
Giovanna,Pometta,Giovanna Pometta,3084555769
Dott.,Germana,Dott. Germana Caracciolo,3710043628
Germana,Foscari,Germana Foscari,3438247915
Piero,Farina-Contarini,Piero Farina-Contarini,3420266147
Giulia,Lupo,Giulia Lupo,3501520918
Napoleone,Cicilia,Napoleone Cicilia,3340366291
Sig.ra,Maria,Sig.ra Maria Zaccardo,3220424979
Luisa,Ferrazzi,Luisa Ferrazzi,3268745445
Eugenia,Giacometti,Eugenia Giacometti,3537214664
Armando,Muratori,Armando Muratori,3442194248
Vincenza,Gemito,Vincenza Gemito,3772430644
Raffaele,Cavanna,Raffaele Cavanna,3908209550
Pomponio,Crisafulli,Pomponio Crisafulli,3512353520
Adriano,Carnera,Adriano Carnera,3676893681
Donna,Pagnotto,Donna Pagnotto,3798369315
Simone,Canevascini,Simone Canevascini,3640587334
Paloma,Contarini,Paloma Contarini,3198999623
Gustavo,Fracci-Draghi,Gustavo Fracci-Draghi,3169496287
Vincenza,Toscanini,Vincenza Toscanini,3229318915
Ubaldo,Saraceno,Ubaldo Saraceno,3026293367
Carolina,Munari-Biagiotti,Carolina Munari-Biagiotti,3088132769
Alfio,Marenzio,Alfio Marenzio,3173909495
Dott.,Gianmarco,Dott. Gianmarco Tolentino,3757044916
Rosina,Collodi,Rosina Collodi,3832334966
Augusto,Armellini,Augusto Armellini,3104472516
Carmelo,Finotto-Villadicani,Carmelo Finotto-Villadicani,3021679982
Sig.,Ippazio,Sig. Ippazio Doglioni,3151539194
Dott.,Annamaria,Dott. Annamaria Carducci,3118807144
Enzo,Dallara,Enzo Dallara,3595469152
Gian,Colletti,Gian Colletti,3133767042
Geronimo,Inzaghi,Geronimo Inzaghi,3188384391
Domenico,Pennetta,Domenico Pennetta,3520571883
Flavia,Tropea,Flavia Tropea,3250235938
Agnolo,Pozzecco-Bompiani,Agnolo Pozzecco-Bompiani,3811482837
Simone,Foconi,Simone Foconi,3183507473
Annunziata,Stradivari,Annunziata Stradivari,3840502377
Ottavio,Ciampi,Ottavio Ciampi,3700968228
Piergiuseppe,Pacetti-Naccari,Piergiuseppe Pacetti-Naccari,3254227672
Pier,Rastelli,Pier Rastelli,3962784099
Beatrice,Tozzo,Beatrice Tozzo,3972195042
Alina,Tedesco,Alina Tedesco,3183299670
Sig.ra,Stella,Sig.ra Stella Fracci,3882412784
Serena,Fallaci,Serena Fallaci,3262543891
Bettina,Piazzi-Manacorda,Bettina Piazzi-Manacorda,3358242037
Orlando,Pizzamano,Orlando Pizzamano,3059068631
Angelina,Loredan,Angelina Loredan,3398116898
Giuliana,Boiardo,Giuliana Boiardo,3682922389
Michelangelo,Peranda,Michelangelo Peranda,3101410977
Marcello,Vercelloni,Marcello Vercelloni,3699263886
Vincentio,Bruno,Vincentio Bruno,3398508681
Vincenzo,Porcellato,Vincenzo Porcellato,3284958290
Dott.,Claudio,Dott. Claudio Cutuli,3802072416
Allegra,Pisano,Allegra Pisano,3040889811
Sebastiano,Badoglio,Sebastiano Badoglio,3660575608
Sig.,Giosuè,Sig. Giosuè Fagotto,3195813968
Camilla,Dovara,Camilla Dovara,3287988080
Nina,Gabbana,Nina Gabbana,3370120843
Alderano,Padovano,Alderano Padovano,3251382188
Biagio,Maglio,Biagio Maglio,3575457804
Eugenia,Pepe,Eugenia Pepe,3284433811
Iolanda,Ferrabosco-Battelli,Iolanda Ferrabosco-Battelli,3828342380
Priscilla,Cerquiglini,Priscilla Cerquiglini,3841174974
Serafina,Petruzzi-Visconti,Serafina Petruzzi-Visconti,3940067834
Damiano,Franzese,Damiano Franzese,3990109853
Elladio,Emanuelli,Elladio Emanuelli,3837447685
Dott.,Atenulf,Dott. Atenulf Modigliani,3517149250
Dott.,Adriano,Dott. Adriano Tresoldi,3755269138
Rosa,Pareto-Montalti,Rosa Pareto-Montalti,3123166182
Sig.ra,Martina,Sig.ra Martina Ruggeri,3615177362
Benedetto,Casale,Benedetto Casale,3801410751
Valerio,Mimun,Valerio Mimun,3519269683
Dott.,Leopoldo,Dott. Leopoldo Taccola,3094125203
Ubaldo,Fabbri-Morlacchi,Ubaldo Fabbri-Morlacchi,3796587240
Pietro,Scarpetta,Pietro Scarpetta,3362388538
Germana,Comencini,Germana Comencini,3425815854
Piermaria,Giannelli,Piermaria Giannelli,3098820434
Sig.,Sergius,Sig. Sergius Fornaciari,3307730398
Lara,Blasi,Lara Blasi,3386868280
Lisa,Mantegna,Lisa Mantegna,3008470758
Enrico,Bajardi-Guidotti,Enrico Bajardi-Guidotti,3721226798
Mirco,Ungaretti-Carpaccio,Mirco Ungaretti-Carpaccio,3342199267
Stefani,Trincavelli,Stefani Trincavelli,3611286809
Riccardo,Iadanza-Giannone,Riccardo Iadanza-Giannone,3672560021
Mercedes,Ciampi,Mercedes Ciampi,3414748923
Mauro,Leopardi,Mauro Leopardi,3584139105
Sig.ra,Fiamma,Sig.ra Fiamma Fanucci,3393032827
Tonia,Bellini-Modiano,Tonia Bellini-Modiano,3293237543
Giorgia,Filippelli,Giorgia Filippelli,3534218813
Carla,Bevilacqua,Carla Bevilacqua,3713126710
Stefania,Sommaruga,Stefania Sommaruga,3871845792
Sig.ra,Lucia,Sig.ra Lucia Venturi,3662409391
Imelda,Baggio,Imelda Baggio,3763188005
Niccolò,Civaschi,Niccolò Civaschi,3500948971
Sig.,Raimondo,Sig. Raimondo Rensi,3448135160
Ennio,Donà,Ennio Donà,3620223775
Giorgia,Boezio,Giorgia Boezio,3249554278
Milena,Boldù,Milena Boldù,3323684905
Leone,Strangio,Leone Strangio,3922341165
Sebastiano,Visconti-Lamborghini,Sebastiano Visconti-Lamborghini,3097501233
Santino,Sagnelli,Santino Sagnelli,3746243275
Vittorio,Pagnotto,Vittorio Pagnotto,3015253917
Erika,Bataglia,Erika Bataglia,3767724034
Antonia,Montesano,Antonia Montesano,3823917098
Antonietta,Errani-Ricciardi,Antonietta Errani-Ricciardi,3709607250
Patrizia,Tuzzolino-Mascheroni,Patrizia Tuzzolino-Mascheroni,3786861325
Valentina,Bianchini-Metella,Valentina Bianchini-Metella,3164467795
Achille,Pasqua,Achille Pasqua,3168434098
Sig.,Gianpietro,Sig. Gianpietro Camuccini,3696149430
Dott.,Fausto,Dott. Fausto Canevascini,3280648157
Giuseppina,Torricelli,Giuseppina Torricelli,3292010262
Sig.ra,Erika,Sig.ra Erika Acerbi,3914427859
Rosalia,Scotti-Bresciani,Rosalia Scotti-Bresciani,3972886254
Dott.,Maura,Dott. Maura Olivetti,3617746688
Fernanda,Gabbana,Fernanda Gabbana,3173322239
Giulietta,Greggio,Giulietta Greggio,3875748779
Rodolfo,Bignardi-Molesini,Rodolfo Bignardi-Molesini,3914348680
Bettina,Boccherini-Zeffirelli,Bettina Boccherini-Zeffirelli,3433557410
Elisa,Busoni,Elisa Busoni,3066714195
Ermenegildo,Armani,Ermenegildo Armani,3617545187
Vittoria,Endrizzi,Vittoria Endrizzi,3409050239
Sig.ra,Elisa,Sig.ra Elisa Valentino,3671437138
Venancio,Catalano,Venancio Catalano,3538466951
Melina,Totino,Melina Totino,3828810890
Sig.ra,Luisa,Sig.ra Luisa Medici,3734331528
Serafina,Nicolucci-Udinesi,Serafina Nicolucci-Udinesi,3449504551
Domenico,Gritti,Domenico Gritti,3335976452
Loretta,Orengo,Loretta Orengo,3967506765
Roberto,Mimun,Roberto Mimun,3221276652
Fredo,Trebbi,Fredo Trebbi,3464653044
Pietro,Scarpetta,Pietro Scarpetta,3105299236
Livia,Ricciardi,Livia Ricciardi,3261128374
Alfio,Opizzi-Scalera,Alfio Opizzi-Scalera,3311329069
Gabriele,Ginese,Gabriele Ginese,3852184769
Adelasia,Barese-Valguarnera,Adelasia Barese-Valguarnera,3363802434
Piergiuseppe,Cimarosa,Piergiuseppe Cimarosa,3432186900
Dott.,Mirko,Dott. Mirko Versace,3713231806
